SA2_MAINCODE_2011,SA2_NAME_2011,POSTCODE,
201011001,Alfredton,3350,
201011002,Ballarat,3355,
201011003,Ballarat - North,3352,
201011004,Ballarat - South,3356,
201011005,Buninyong,3357,
201011006,Delacombe,3351,
201011007,Smythes Creek,3352,
201011008,Wendouree - Miners Rest,3355,
201021009,Bacchus Marsh Region,3340,
201021010,Creswick - Clunes,3363,
201021011,Daylesford,3461,
201021012,Gordon (Vic.),3333,
201031013,Avoca,3352,
201031014,Beaufort,3325,
201031015,Golden Plains - North,3324,
201031016,Maryborough (Vic.),3465,
201031017,Maryborough Region,3370,
202011018,Bendigo,3550,
202011019,California Gully - Eaglehawk,3550,
202011020,East Bendigo - Kennington,3550,
202011021,Flora Hill - Spring Gully,3550,
202011022,Kangaroo Flat - Golden Square,3555,
202011023,Maiden Gully,3551,
202011024,Strathfieldsaye,3551,
202011025,White Hills - Ascot,3550,
202021026,Bendigo Region - South,3444,
202021027,Castlemaine,3450,
202021028,Castlemaine Region,3364,
202021029,Heathcote,3444,
202021030,Kyneton,3435,
202021031,Woodend,3437,
202031032,Bendigo Region - North,3551,
202031033,Loddon,3463,
203011034,Bannockburn,3221,
203011035,Golden Plains - South,3221,
203011036,Winchelsea,3216,
203021037,Belmont,3216,
203021038,Corio - Norlane,3214,
203021039,Geelong,3215,
203021040,Geelong West - Hamlyn Heights,3215,
203021041,Grovedale,3216,
203021042,Highton,3216,
203021043,Lara,3211,
203021044,Leopold,3222,
203021045,Newcomb - Moolap,3219,
203021046,Newtown (Vic.),3220,
203021047,North Geelong - Bell Park,3215,
203031048,Clifton Springs,3222,
203031049,Lorne - Anglesea,3230,
203031050,Ocean Grove - Barwon Heads,3221,
203031051,Portarlington,3221,
203031052,Queenscliff,3222,
203031053,Torquay,3216,
204011054,Alexandra,3666,
204011055,Euroa,3610,
204011056,Kilmore - Broadford,3658,
204011057,Mansfield (Vic.),3669,
204011058,Nagambie,3523,
204011059,Seymour,3660,
204011060,Seymour Region,3435,
204011061,Upper Yarra Valley,3799,
204011062,Yea,3658,
204021063,Benalla,3672,
204021064,Benalla Region,3669,
204021065,Rutherglen,3682,
204021066,Wangaratta,3677,
204021067,Wangaratta Region,3673,
204031068,Beechworth,3747,
204031069,Bright - Mount Beauty,3691,
204031070,Chiltern - Indigo Valley,3683,
204031071,Myrtleford,3737,
204031072,Towong,3691,
204031073,West Wodonga,3690,
204031074,Wodonga,3690,
204031075,Yackandandah,3691,
205011076,Drouin,3816,
205011077,Mount Baw Baw Region,3818,
205011078,Trafalgar (Vic.),3821,
205011079,Warragul,3818,
205021081,Bairnsdale,3875,
205021082,Bruthen - Omeo,3701,
205021084,Lakes Entrance,3887,
205021085,Orbost,3885,
205021086,Paynesville,3875,
205031087,Foster,3871,
205031088,French Island,3921,
205031089,Korumburra,3945,
205031090,Leongatha,3835,
205031091,Phillip Island,3922,
205031092,Wilsons Promontory,3960,
205031093,Wonthaggi - Inverloch,3925,
205041094,Churchill,3840,
205041095,Moe - Newborough,3825,
205041096,Morwell,3840,
205041097,Traralgon,3844,
205041098,Yallourn North - Glengarry,3825,
205051099,Alps - West,3858,
205051100,Longford - Loch Sport,3850,
205051101,Maffra,3850,
205051102,Rosedale,3844,
205051103,Sale,3850,
205051104,Yarram,3844,
206011105,Brunswick,3055,
206011106,Brunswick East,3054,
206011107,Brunswick West,3052,
206011108,Coburg,3044,
206011109,Pascoe Vale South,3044,
206021110,Alphington - Fairfield,3070,
206021111,Northcote,3070,
206021112,Thornbury,3070,
206031113,Ascot Vale,3032,
206031114,Essendon - Aberfeldie,3040,
206031115,Flemington,3031,
206031116,Moonee Ponds,3039,
206041117,Carlton,3000,
206041118,Docklands,3005,
206041119,East Melbourne,3000,
206041120,Flemington Racecourse,3031,
206041121,Kensington,3031,
206041122,Melbourne,3000,
206041123,North Melbourne,3000,
206041124,Parkville,3000,
206041125,South Yarra - West,3004,
206041126,Southbank,3004,
206051128,Albert Park,3004,
206051129,Elwood,3184,
206051130,Port Melbourne,3207,
206051131,Port Melbourne Industrial,3207,
206051132,South Melbourne,3004,
206051133,St Kilda,3004,
206051134,St Kilda East,3182,
206061135,Armadale,3143,
206061136,Prahran - Windsor,3143,
206061137,South Yarra - East,3141,
206061138,Toorak,3142,
206071139,Abbotsford,3067,
206071140,Carlton North - Princes Hill,3054,
206071141,Collingwood,3066,
206071142,Fitzroy,3065,
206071143,Fitzroy North,3068,
206071144,Richmond (Vic.),3121,
206071145,Yarra - North,3068,
207011146,Ashburton (Vic.),3145,
207011147,Balwyn,3103,
207011148,Balwyn North,3103,
207011149,Camberwell,3124,
207011150,Glen Iris - East,3123,
207011151,Hawthorn,3122,
207011152,Hawthorn East,3122,
207011153,Kew,3101,
207011154,Kew East,3101,
207011155,Surrey Hills (West) - Canterbury,3124,
207021156,Bulleen,3105,
207021157,Doncaster,3107,
207021158,Doncaster East,3108,
207021159,Templestowe,3106,
207021160,Templestowe Lower,3106,
207031161,Blackburn,3130,
207031162,Blackburn South,3130,
207031163,Box Hill,3128,
207031164,Box Hill North,3104,
207031165,Burwood,3125,
207031166,Burwood East,3151,
207031167,Surrey Hills (East) - Mont Albert,3127,
